"water_year","WB_annual_total_aet","WB_ave_aet","RS_annual_total_aet","RS_ave_monthly_aet","RS_annual_total_precip","RS_ave_monthly_precip","RS_annual_total_pet","RS_ave_monthly_pet","RS_annual_total_soil_moisture","RS_ave_monthly_soil_moisture","RS_ave_monthly_tmax","RS_ave_NDVI","RS_max_NDVI"
1990,709.797344523638,1.94465025896887,8566.4457708,713.8704809,1064.3789282,88.6982440166667,9580.6156906,798.384640883333,7226.6066874,602.21722395,172.28553935,0.371914975,0.579754
1991,843.044755883009,2.30971165995345,8292.6873431,691.057278591667,1033.7839243,86.1486603583333,10346.9321554,862.244346283333,5273.5912285,439.465935708333,186.697612125,0.32958174,0.6161627
1992,673.545725521874,1.8402888675461,7782.0522008,648.504350066667,971.4838285,80.9569857083333,9248.3725571,770.697713091667,5147.1739124,428.931159366667,166.64163455,0.286843382142857,0.5729878
1993,806.989821532051,2.21093101789603,7023.571278,585.2976065,1259.3954497,104.949620808333,9521.1304012,793.427533433333,6292.4764675,524.373038958333,168.070902958333,0.3103788,0.6433999
1994,900.192558539433,2.46628098229982,8283.457543,690.288128583333,1359.247247,113.270603916667,9299.0134384,774.917786533333,7834.1703466,652.847528883333,166.275420175,0.326372591304348,0.696221
1995,610.609900216203,1.67979906426839,7166.4810354,597.20675295,873.5422034,72.7951836166667,9966.7753839,830.564615325,5371.815748,447.651312333333,179.827893233333,0.344100151515151,0.6404429
1996,918.932934456439,2.51074572255858,8132.9970983,677.749758191667,1506.6639917,125.555332641667,8462.672669,705.222722416667,8723.7968316,726.9830693,161.088842516667,0.302132457692308,0.6969476
1997,515.24738781174,1.41163667893627,7184.2819281,598.690160675,1181.760263,98.4800219166667,9515.1275595,792.927296625,5861.7069677,488.475580641667,163.911958416667,0.366849032142857,0.6666799
1998,668.258871314551,1.83084622277959,7593.1382172,632.7615181,1079.7831115,89.9819259583333,9604.1899188,800.3491599,6651.0659572,554.255496433333,174.437763625,0.375810575,0.6707948
1999,996.561136198335,2.73030448273517,7049.1488664,587.4290722,1116.3572188,93.0297682333333,9839.3147781,819.942898175,4851.2997215,404.274976791667,173.047150683333,0.346341034285714,0.6326459
2000,785.471355131373,2.1460965987196,8140.7429204,678.395243366667,1183.054869,98.58790575,8670.9476342,722.578969516667,7865.9709858,655.49758215,166.1534612,0.342060536666667,0.6648809
