"water_year","WB_annual_total_aet","WB_ave_aet","RS_annual_total_aet","RS_ave_monthly_aet","RS_annual_total_precip","RS_ave_monthly_precip","RS_annual_total_pet","RS_ave_monthly_pet","RS_annual_total_soil_moisture","RS_ave_monthly_soil_moisture","RS_ave_monthly_tmax","RS_ave_NDVI","RS_max_NDVI"
1990,555.8727388756,1.76939057028139,9116.0026218,759.66688515,1077.0211944,89.7517662,11085.3661179,923.780509825,14382.0586768,1198.50488973333,218.651959291667,0.309512821428571,0.5942718
1991,993.501152968157,2.72192096703605,9507.9355884,792.3279657,1144.5591641,95.3799303416667,11170.2324123,930.852701025,13139.0394645,1094.919955375,224.609941375,0.325923161904762,0.6472753
1992,765.803505835563,2.20405422873198,9151.2886062,762.60738385,1005.0761191,83.7563432583333,10666.591173,888.88259775,8827.6606395,735.638386625,210.215255183333,0.335787357142857,0.5925797
1993,738.226278670149,2.04086447909177,8892.3004203,741.025035025,1151.6146208,95.9678850666667,11151.0030068,929.250250566667,13079.0116994,1089.91764161667,210.776134225,0.385372386666667,0.6413011
1994,996.093870402499,3.01993930592774,8777.4954654,731.45795545,1128.439181,94.0365984166667,10493.4292268,874.452435566667,10607.3131685,883.942764041667,205.856141975,0.382380961538462,0.6254491
1995,913.748413070205,2.62050935087727,9364.82778,780.402315,1059.7250018,88.3104168166667,10832.1762262,902.681352183333,11299.5881337,941.632344475,213.2217186,0.403364538461538,0.6698749
1996,959.89918098649,3.31070570837909,9737.1007381,811.425061508333,1432.7444023,119.395366858333,10493.8594204,874.488285033333,16137.842732,1344.82022766667,199.507661608333,0.38016381875,0.6676623
1997,694.079341896547,2.03229022508062,9234.5104911,769.542540925,1077.2262841,89.7688570083333,10728.1671569,894.013929741667,14034.0869337,1169.507244475,204.423522641667,0.329768321428571,0.5933776
1998,670.51862302355,1.94429604945698,9176.608763,764.717396916667,1265.2414814,105.436790116667,10890.0327794,907.502731616667,12692.226071,1057.68550591667,210.762265925,0.335438691666667,0.56364
1999,986.060454297954,3.06341605241587,8956.6618029,746.388483575,1107.8751998,92.3229333166667,11204.7044626,933.725371883333,11063.5398618,921.96165515,215.153606716667,0.38634408,0.5938498
2000,970.793648731802,2.74153106945595,9746.9423639,812.245196991667,1109.5793836,92.4649486333333,10471.8149746,872.651247883333,15788.996772,1315.749731,211.497503933333,0.343975133333333,0.6643901
2001,598.410958944016,2.01191391650081,8724.8143848,727.0678654,874.9251508,72.9104292333333,10378.5324557,864.877704641667,12661.3336992,1055.1111416,204.828878516667,0.611071530732609,0.82636253006
2002,598.582273761992,2.88142911127081,8172.3111775,681.025931458333,844.5457771,70.3788147583333,11393.788545,949.48237875,6146.8154172,512.2346181,225.515690491667,0.614267031658696,0.79696181883
2003,831.485716419499,4.28717765316062,9397.5886498,783.132387483333,1663.1382612,138.5948551,9507.6777461,792.306478841667,18684.3511995,1557.029266625,198.088442891667,0.638694585994783,0.81368407173
2004,818.229276559922,4.74545469786083,9783.4124153,815.284367941667,1163.1616104,96.9301342,10480.1654612,873.347121766667,15764.4060005,1313.70050004167,210.087250825,0.64234768928087,0.83778985327
2005,464.526343129348,1.87463464553548,8416.7863736,701.398864466667,877.7488265,73.1457355416667,11002.2903513,916.857529275,12775.6826783,1064.64022319167,213.13113945,0.637000214910435,0.80396496026
