"water_year","WB_annual_total_aet","WB_ave_aet","RS_annual_total_aet","RS_ave_monthly_aet","RS_annual_total_precip","RS_ave_monthly_precip","RS_annual_total_pet","RS_ave_monthly_pet","RS_annual_total_soil_moisture","RS_ave_monthly_soil_moisture","RS_ave_monthly_tmax"
1990,695.953666368828,1.91495434711917,9617.3105777,801.442548141667,1212.0507461,101.004228841667,13436.7342268,1119.72785223333,7226.4624147,602.205201225,262.848993083333
1991,1422.17775953586,3.89637742338591,11056.5462275,921.378852291667,1456.8580668,121.4048389,12514.1072388,1042.8422699,9167.2843832,763.940365266667,260.006524208333
1992,744.768023765203,2.05212544774616,10114.1963946,842.84969955,1253.3606528,104.446721066667,12480.6526679,1040.05438899167,6077.5099585,506.459163208333,250.245618166667
1993,790.33360777167,2.2228821703364,8952.9552617,746.079605141667,1239.522851,103.293570916667,12701.9774629,1058.49812190833,7213.4431628,601.120263566667,249.757876791667
1994,882.451877314581,2.41767637620433,11452.0888677,954.340738975,1529.0212979,127.418441491667,12168.9275114,1014.07729261667,9726.8295364,810.569128033333,243.560346858333
1995,780.155287325069,2.13741174609608,9806.2960139,817.191334491667,1137.6199263,94.801660525,12784.7435913,1065.395299275,7823.2321265,651.936010541667,252.718712241667
1996,847.555543650646,2.31572552910013,10339.1438249,861.595318741667,1360.8298655,113.402488791667,12375.57222,1031.297685,7618.2819176,634.856826466667,243.708802166667
1997,873.48972158847,2.65071657670418,10021.1839838,835.098665316667,1212.3472932,101.0289411,12565.6651897,1047.13876580833,6196.7646404,516.397053366667,248.303733616667
1998,1025.41881609393,2.80936661943543,10250.1047134,854.175392783333,1634.2890162,136.19075135,12902.014759,1075.16789658333,8625.6229479,718.801912325,248.848053691667
1999,469.635905632453,1.28667371406152,9854.8248375,821.235403125,977.7200665,81.4766722083333,13479.1408258,1123.26173548333,5836.504138,486.375344833333,260.200087891667
2000,832.306863618836,2.27406246890392,8800.0899934,733.340832783333,941.8080676,78.4840056333333,13365.9059788,1113.82549823333,5049.4066445,420.783887041667,259.0757867
2001,1146.21545374066,3.14031631161824,9722.3163012,810.1930251,1260.0669996,105.0055833,12016.6307566,1001.38589638333,8278.6091908,689.884099233333,240.724521933333
2002,806.735643373607,2.21023463937974,9364.22171,780.351809166667,973.2290658,81.10242215,12642.3411659,1053.52843049167,4219.8825588,351.6568799,257.164877425
2003,1407.34461501653,3.85573867127816,11497.539559,958.128296583333,1681.3113946,140.109282883333,11774.5813974,981.21511645,11009.4685544,917.455712866667,241.617777125
2004,1030.39828873938,2.81529587087261,10463.8078205,871.983985041667,1187.7639547,98.9803295583333,12747.4749613,1062.28958010833,6288.3530973,524.029424775,251.576538625
2005,890.623490667183,2.44006435799228,11668.6262905,972.385524208333,1448.8708706,120.739239216667,12794.3903194,1066.19919328333,9962.8819064,830.240158866667,251.50817075
2006,886.737455170924,2.45486535057803,8609.6368918,717.469740983333,923.9918888,76.9993240666667,13547.0693624,1128.92244686667,5332.4151139,444.367926158333,257.614716958333
2007,723.086601054365,1.98105918097086,9315.20529,776.2671075,988.0441353,82.337011275,13466.6449722,1122.22041435,4897.8801097,408.156675808333,257.420499833333
2008,1042.75936727498,3.18543991548093,9580.0034102,798.333617516667,1191.0298168,99.2524847333333,13147.4917065,1095.624308875,6964.2143397,580.351194975,255.368837233333
2009,1039.16481994552,2.84702690396034,11610.0838786,967.506989883333,1364.0906418,113.67422015,12887.6173557,1073.968112975,7801.3604819,650.113373491667,251.00545415
2010,940.630802336575,2.57707069133308,10683.1252869,890.260440575,1462.7039511,121.891995925,12625.1949354,1052.09957795,7381.7634301,615.146952508333,248.487385308333
2011,576.378054430216,1.57911795734306,9144.5953394,762.049611616667,987.8895896,82.3241324666667,13791.7568584,1149.31307153333,4651.8127723,387.651064358333,259.419506066667
2012,914.772905312983,2.49937952271307,10932.3884791,911.032373258333,1155.943106,96.3285921666667,13433.4369408,1119.4530784,5268.675254,439.056271166667,263.590459566667
2013,1222.58313106443,3.34954282483406,10858.6736199,904.889468325,1621.8359538,135.15299615,12280.6979597,1023.39149664167,9999.0617203,833.255143358333,249.345489908333
2014,869.725870714897,2.38281060469835,10802.773548,900.231129,1379.2714293,114.939285775,12934.0046679,1077.833722325,8517.9266942,709.827224516667,249.643243008333
2015,1010.36115101143,2.76811274249708,10744.7059124,895.392159366667,1306.0639288,108.838660733333,13310.4475672,1109.20396393333,7197.7068119,599.808900991667,254.483829491667
2016,1056.02504565702,2.88531433239624,10650.4511688,887.5375974,1494.9803962,124.581699683333,13885.961502,1157.1634585,7703.9739846,641.99783205,265.796012566667
2017,857.234257445569,2.34858700670019,10458.5329276,871.544410633333,1363.7795106,113.64829255,13591.9166668,1132.65972223333,6493.0613088,541.0884424,268.681603983333
2018,981.990254344088,2.69038425847695,11223.9930166,935.332751383333,1344.431141,112.035928416667,12271.1814234,1022.59845195,9851.3049154,820.942076283333,259.663016175
2019,890.136617120395,2.43873045786409,10213.4055353,851.117127941667,1336.1172952,111.343107933333,13205.316359,1100.44302991667,8088.179077,674.014923083333,265.472162258333
2020,786.016386126188,2.14758575444314,11496.4935836,958.041131966667,1561.2891273,130.107427275,13537.8561423,1128.154678525,8784.5240093,732.043667441667,266.211539708333
