"water_year","WB_annual_total_aet","WB_ave_aet","RS_annual_total_aet","RS_ave_monthly_aet","RS_annual_total_precip","RS_ave_monthly_precip","RS_annual_total_pet","RS_ave_monthly_pet","RS_annual_total_soil_moisture","RS_ave_monthly_soil_moisture","RS_ave_monthly_tmax"
1990,700.930817779888,1.92035840487641,9018.4621725,751.538514375,1019.4356492,84.9529707666667,10096.1928773,841.349406441667,15215.8543166,1267.98785971667,195.487490825
1991,853.115312116513,2.33730222497675,8879.6853741,739.973781175,1202.7842512,100.232020933333,10406.0808573,867.173404775,15124.2714709,1260.35595590833,206.072140308333
1992,710.497187133677,2.4995005112942,8886.5204457,740.543370475,1038.4801798,86.5400149833333,9905.4063501,825.450529175,14668.5983517,1222.383195975,191.747401033333
1993,640.827258567823,1.7556911193639,8353.7426596,696.145221633333,1124.6483844,93.7206987,10170.274072,847.522839333333,13555.5846087,1129.632050725,192.390797975
1994,1099.73510760532,3.05832940344947,8390.9058248,699.242152066667,1302.0175195,108.501459958333,9688.6834736,807.390289466667,12685.1479092,1057.0956591,188.356337325
1995,674.876293832745,1.84897614748697,8700.1504977,725.012541475,987.13768,82.2614733333333,9942.0114921,828.500957675,13229.0487944,1102.42073286667,197.025131941667
1996,785.235574713497,2.22176333258859,8640.3859544,720.032162866667,1534.1239996,127.843666633333,9220.271171,768.355930916667,17460.9075253,1455.07562710833,181.337140066667
1997,703.280794159588,1.93522285920586,8622.9290591,718.577421591667,1083.1728567,90.264404725,9843.7697829,820.314148575,13976.1955781,1164.68296484167,184.370230383333
1998,810.863144362061,2.22154286126592,8549.7202507,712.476687558333,1311.208596,109.267383,9964.3843037,830.365358641667,15122.4659238,1260.20549365,191.408462341667
1999,939.875123413381,2.60916722613919,7459.121536,621.593461333333,989.3636205,82.446968375,10437.2408838,869.77007365,10778.5563101,898.213025841667,193.432540733333
2000,924.28878340522,2.52537918963175,9034.9485795,752.912381625,1107.3784638,92.28153865,9430.9200805,785.910006708333,18178.7506253,1514.89588544167,190.3383937
2001,691.295354880561,2.10319316201176,8193.6282015,682.802350125,850.7316051,70.894300425,9506.7625174,792.230209783333,13770.2167366,1147.51806138333,185.780990525
2002,722.965757676354,1.98072810322289,7615.5540842,634.629507016667,763.561187,63.6300989166667,10834.8336962,902.902808016667,5139.9121398,428.32601165,208.286020641667
2003,1319.52671119716,3.61514167451275,8223.1340661,685.261172175,1782.0116422,148.500970183333,8405.4906588,700.4575549,18533.24401,1544.43700083333,178.788109
2004,717.45351376126,1.96025550207994,8952.3728992,746.031074933333,1252.0749302,104.339577516667,9498.1700555,791.514171291667,17541.636342,1461.8030285,191.674603175
2005,584.399758883726,1.60109522981843,8227.9896707,685.665805891667,931.8412739,77.6534394916667,10271.0713909,855.922615908333,13915.4670244,1159.62225203333,195.284495033333
2006,846.567564643501,2.31936319080411,9029.2310924,752.435924366667,1166.9859067,97.2488255583333,10818.6107068,901.550892233333,13714.705382,1142.89211516667,198.907820425
2007,672.69414452849,1.84299765624244,8723.4398383,726.953319858333,1123.416329,93.6180274166667,10984.5324881,915.377707341667,13904.4153036,1158.7012753,202.343163308333
2008,822.136879677043,2.49671473760316,9668.3713987,805.697616558333,1039.3612193,86.6134349416667,11090.2177623,924.184813525,10780.240859,898.353404916667,201.785845591667
2009,827.385234906797,2.26680886275835,9134.0946879,761.174557325,1049.4080382,87.45066985,10050.1152084,837.5096007,14000.8555172,1166.73795976667,191.081650341667
2010,782.676863145642,2.14432017300176,7721.0830082,643.423584016667,1173.9205432,97.8267119333333,10531.233531,877.60279425,12211.4827556,1017.62356296667,196.648540666667
2011,865.375134797044,2.37089078026588,9053.5778437,754.464820308333,1084.3319702,90.3609975166667,10282.9182172,856.909851433333,11327.2126725,943.934389375,194.041507225
2012,845.850087604514,2.31968397316901,9118.4480919,759.870674325,1013.4012106,84.4501008833333,11031.5063901,919.292199175,13193.929897,1099.49415808333,209.522517341667
2013,950.22105946506,2.60334536839742,9027.1039415,752.258661791667,1062.6375176,88.5531264666667,10041.0680649,836.755672075,15439.6297019,1286.63580849167,188.973195541667
2014,772.150275642607,2.11548020724002,9302.2709209,775.189243408333,1250.301233,104.191769416667,9929.5054396,827.458786633333,15947.9280962,1328.99400801667,186.041935525
2015,972.030217299982,2.66309648575337,8994.6140207,749.551168391667,1147.8516283,95.6543023583333,9843.1685298,820.26404415,16147.4115271,1345.61762725833,187.04408325
2016,782.573276985011,2.13817835241806,9140.8092237,761.734101975,1216.2175247,101.351460391667,10655.1711935,887.930932791667,14393.8533662,1199.48778051667,207.067408225
2017,720.788878972065,1.97476405197826,10087.327006,840.610583833333,1067.6958658,88.9746554833333,10943.48093,911.956744166667,15315.3095113,1276.27579260833,207.064531016667
2018,1013.51509927634,2.77675369664749,9357.5854466,779.798787216667,1441.3106993,120.109224941667,9489.914941,790.826245083333,18721.9455532,1560.16212943333,197.483228716667
2019,640.161831842477,1.75386803244514,9213.4433275,767.786943958333,1261.3404362,105.111703016667,10777.3277062,898.110642183333,15648.574117,1304.04784308333,206.362151116667
2020,991.756401927195,2.70971694515627,10217.0656263,851.422135525,1310.232368,109.186030666667,10850.8163016,904.2346918,16614.168905,1384.51407541667,204.694927975
