"water_year","WB_annual_total_aet","WB_ave_aet","RS_annual_total_aet","RS_ave_monthly_aet","RS_annual_total_precip","RS_ave_monthly_precip","RS_annual_total_pet","RS_ave_monthly_pet","RS_annual_total_soil_moisture","RS_ave_monthly_soil_moisture","RS_ave_monthly_tmax"
1990,567.280992317083,1.55419449949886,9350.2229637,779.185246975,979.7419897,81.6451658083333,13219.7520929,1101.64600774167,8068.609009,672.384084083333,248.810032533333
1991,1484.18856902276,4.06627005211714,11634.6482249,969.554018741667,1601.1893594,133.432446616667,12175.1422637,1014.59518864167,12893.3524009,1074.44603340833,244.926341641667
1992,732.814028168913,2.00222412068009,10153.9463026,846.162191883333,1094.4689874,91.20574895,12126.8775676,1010.57313063333,8126.7401228,677.228343566667,237.652720983333
1993,865.658114199019,2.37166606629868,8794.5816973,732.881808108333,1253.8397699,104.486647491667,12616.265747,1051.35547891667,8874.8538634,739.571155283333,239.408811775
1994,1025.86500181066,2.82105946604757,10840.4395743,903.369964525,1265.2006708,105.433389233333,12454.9149073,1037.90957560833,9750.8336841,812.569473675,239.049449266667
1995,1026.98384898279,3.20332216848701,10384.4791458,865.37326215,1519.1370493,126.594754108333,12556.0576291,1046.33813575833,11426.2265365,952.185544708333,243.244231658333
1996,518.538777743032,1.41677261678424,9486.0929884,790.507749033333,1013.9826651,84.498555425,12489.0005236,1040.75004363333,8891.2003192,740.933359933333,236.586103033333
1997,907.73170150206,2.4869361684988,10920.4340872,910.036173933333,1220.906587,101.742215583333,12434.1679321,1036.18066100833,7452.035237,621.002936416667,235.7963774
1998,1027.99565954363,2.81642646450308,10360.5285747,863.377381225,1541.6953335,128.474611125,12591.6100835,1049.30084029167,9998.1537564,833.1794797,238.176527875
1999,792.076222684535,2.17007184297133,9638.0596844,803.171640366667,977.818639,81.4848865833333,12826.7134442,1068.89278701667,6287.5192438,523.959936983333,245.443087066667
2000,816.045763432842,2.22963323342307,8934.8071648,744.567263733333,1040.1112642,86.6759386833333,12413.7358288,1034.47798573333,6338.9141791,528.242848258333,242.2098357
2001,750.222716500288,2.05540470274051,8927.942794,743.995232833333,882.5107073,73.5425589416667,11887.5769404,990.6314117,6715.6333429,559.636111908333,231.807058133333
2002,663.391064812719,1.81750976661019,8081.6672877,673.472273975,868.6382885,72.3865240416667,12446.754756,1037.229563,2876.4590999,239.704924991667,248.362867216667
2003,1409.96957085891,3.86293033112031,10929.027623,910.752301916667,1540.8617791,128.405148258333,11244.9728805,937.081073375,12445.1954523,1037.099621025,227.897681108333
2004,936.66577425914,2.55919610453317,9853.6803013,821.140025108333,1109.7253688,92.4771140666667,12176.6511043,1014.72092535833,7711.6645075,642.638708958333,238.828692758333
2005,751.909291524113,2.06776668760182,10184.5983439,848.716528658333,1035.3673873,86.2806156083333,12251.8584062,1020.98820051667,9073.1120383,756.092669858333,238.708211775
2006,885.199376440213,2.42520377106908,10014.4009221,834.533410175,1044.2705442,87.02254535,13135.2155363,1094.60129469167,5982.3468532,498.528904433333,243.9320258
2007,551.833287246647,2.04392681437438,8541.2943325,711.774527708333,909.6818241,75.806818675,13206.1124958,1100.50937465,6582.7792784,548.564939866667,246.917970758333
2008,835.772994738938,2.74971564118919,9489.4008324,790.7834027,1039.4688171,86.622401425,13344.3742492,1112.03118743333,6608.5130482,550.709420683333,247.23908165
2009,1080.14299842529,2.98951158275906,10960.5718483,913.380987358333,1159.0379165,96.5864930416667,12678.6061154,1056.55050961667,8399.4796673,699.956638941667,237.98264355
2010,1149.3026528714,3.14877439142849,9716.0652064,809.672100533333,1298.7518532,108.2293211,12663.6315786,1055.30263155,8395.0165496,699.584712466667,239.805345416667
2011,733.253754258099,2.00891439522767,8867.5874097,738.965617475,914.1660469,76.1805039083333,13435.1044625,1119.59203854167,3708.1994279,309.016618991667,248.235706575
2012,1049.10237944776,2.86639994384635,9512.5320303,792.711002525,1019.2312092,84.9359341,13048.3815923,1087.36513269167,1717.4104068,143.1175339,252.839534858333
2013,1297.67842235888,3.55528334892844,10835.3064146,902.942201216667,1403.7415761,116.978464675,12003.1929433,1000.26607860833,10131.0652612,844.255438433333,236.787218425
2014,1038.07646621948,2.89361132297573,10878.9069474,906.57557895,1140.5280292,95.0440024333333,12855.4232665,1071.28527220833,8648.1011479,720.675095658333,240.559084733333
2015,897.516299353698,2.4589487653526,10278.1504525,856.512537708333,1149.2233681,95.7686140083333,13129.5737903,1094.13114919167,7326.434329,610.536194083333,243.596161025
2016,1349.98901967297,3.6884945892704,10010.0353524,834.1696127,1263.1903697,105.265864141667,13625.0233767,1135.418614725,7793.4746009,649.456216741667,256.428148008333
2017,939.47169116294,2.58357591136016,10641.8706104,886.822550866667,1211.7619197,100.980159975,13546.0896207,1128.840801725,6837.3627895,569.780232458333,257.616711641667
2018,960.387377471957,2.63119829444372,10681.5221065,890.126842208333,1159.3827033,96.615225275,12243.353367,1020.27944725,6194.8589004,516.2382417,249.31359735
2019,805.668079760575,2.20730980756322,10083.0745867,840.256215558333,1279.6281211,106.635676758333,13283.183149,1106.93192908333,7848.895682,654.074640166667,255.763878875
2020,1352.2382862452,3.69464012635299,11271.1935729,939.266131075,1451.1016677,120.925138975,12999.8720547,1083.322671225,9238.9796196,769.9149683,252.621412458333
