"water_year","WB_annual_total_aet","WB_ave_aet","RS_annual_total_aet","RS_ave_monthly_aet","RS_annual_total_precip","RS_ave_monthly_precip","RS_annual_total_pet","RS_ave_monthly_pet","RS_annual_total_soil_moisture","RS_ave_monthly_soil_moisture","RS_ave_monthly_tmax","RS_ave_NDVI","RS_max_NDVI"
1990,472.406358643196,1.30229049033662,7408.7562636,617.3963553,1243.2366577,103.603054808333,8077.3370438,673.111420316667,10992.6924098,916.057700816667,154.113488733333,0.38664517,0.7031328
1991,361.889886831263,1.20992004866354,7531.2624766,627.605206383333,1165.4185051,97.1182087583333,9103.4106995,758.617558291667,9490.5756856,790.881307133333,171.332651041667,0.378851941666667,0.7222066
1992,559.303626620154,1.55802850614751,6924.3880474,577.032337283333,1008.2251253,84.0187604416667,7567.9193336,630.659944466667,9771.6542512,814.304520933333,149.253783608333,0.329429425806452,0.6837991
1993,585.716205709954,1.62807209919779,5106.1948462,425.516237183333,1046.1516976,87.1793081333333,7756.2764119,646.356367658333,8229.6211258,685.801760483333,148.233374716667,0.24615442,0.685509
1994,710.552109742245,1.95663380962048,7558.1743192,629.847859933333,1291.3434326,107.611952716667,7958.2860531,663.190504425,11005.6590194,917.138251616667,145.850347775,0.297749262068966,0.7171195
1995,481.780158573508,1.31994563992742,6039.6626109,503.305217575,822.7860871,68.5655072583333,8608.7552967,717.396274725,8211.2926635,684.274388625,161.85348245,0.297843305263158,0.7170079
1996,961.623052326312,2.62738538886971,6840.3350049,570.027917075,1524.0502824,127.0041902,7327.5321611,610.627680091667,11339.3271934,944.943932783333,144.685608825,0.367065204,0.7075247
1997,549.579381895966,1.52362365091691,6611.7219003,550.976825025,1113.4885382,92.7907115166667,8035.3691467,669.614095558333,8917.563383,743.130281916667,148.759336308333,0.379085016,0.7032554
1998,778.911127976354,2.13400309034617,6880.362099,573.36350825,1155.3594068,96.2799505666667,7972.1383231,664.344860258333,9460.2149852,788.351248766667,158.438931425,0.360452536363636,0.7253759
1999,717.271620131446,2.54703562112436,6680.534299,556.711191583333,1098.841994,91.5701661666667,8732.1406825,727.678390208333,8960.2275709,746.685630908333,160.405371283333,0.360885509090909,0.7264506
2000,725.480597066932,1.99214400725676,7497.6041905,624.800349208333,1222.939146,101.9115955,7596.7305003,633.060875025,12020.9591495,1001.74659579167,152.41197645,0.27703986,0.6992988
2001,487.780445602361,1.34324764563645,6515.4027895,542.950232458333,960.2612693,80.0217724416667,7830.1531945,652.512766208333,9257.3276061,771.443967175,147.874808775,0.53552863872087,0.84680810426
2002,607.321693324914,1.68182511907681,7395.5437676,616.295313966667,846.5988617,70.5499051416667,8806.0146188,733.834551566667,7478.8067247,623.233893725,170.130412816667,0.618131687153478,0.83771597232
2003,886.07080342915,2.69370385775428,6631.565034,552.6304195,1337.4501949,111.454182908333,6943.1296181,578.594134841667,11576.4287009,964.702391741667,139.024436366667,0.52168759112087,0.8588873211
2004,740.580955955566,2.02344523485127,7189.1842438,599.098686983333,1310.087948,109.173995666667,7653.5355372,637.7946281,10852.6415975,904.386799791667,149.242048258333,0.580744072000435,0.85516606721
2005,441.842497215849,1.23354562924497,5989.5396833,499.128306941667,965.5732028,80.4644335666667,7956.5807865,663.048398875,8775.5880067,731.299000558333,155.448666141667,0.554583433545652,0.84579064683
2006,699.577503838335,2.38039221187336,7655.8509761,637.987581341667,1375.2341629,114.602846908333,8098.4987771,674.874898091667,11089.5192549,924.126604575,158.11206925,0.594178182966957,0.85143667178
2007,463.811387974404,1.32773074841078,6548.4573721,545.704781008333,1083.2470753,90.2705896083333,8833.9254326,736.160452716667,8193.9896689,682.832472408333,160.326676333333,0.58570110953913,0.85172926449
2008,364.025069512872,1.80851333943639,7309.0766434,609.089720283333,1310.9976284,109.249802366667,8292.0017986,691.000149883333,9625.5500454,802.12917045,158.28659885,0.571891628854348,0.86499751958
2009,338.023810350691,1.24049516007566,7369.6994262,614.14161885,1219.7477806,101.645648383333,7664.9832555,638.748604625,11735.980465,977.998372083333,147.556204283333,0.578912113847391,0.86247690134
2010,500.28279632228,1.37063779814323,6565.4687567,547.122396391667,1071.9781979,89.3315164916667,9089.2411055,757.436758791667,7756.083297,646.34027475,164.597178658333,0.581076536367826,0.84966156383
2011,661.66988386981,3.38166226294541,7638.0760582,636.506338183333,1521.8628906,126.82190755,8203.8724333,683.656036108333,11330.194335,944.18286125,154.482765341667,0.551932564898696,0.85120933908
2012,267.404128818079,2.0024359911592,8644.393487,720.366123916667,1144.6059709,95.3838309083333,9215.5745582,767.964546516667,10864.3410915,905.361757625,175.194493383333,0.640209749414348,0.85137550574
2013,31.0902310504168,1.59715583708206,7662.42307,638.535255833333,1169.6843823,97.473698525,8116.6521381,676.387678175,11336.8429798,944.736914983333,155.514848466667,0.583992429056957,0.87229761986
2014,-24.0091299393432,1.37465392482372,7133.1141859,594.426182158333,1095.5077099,91.2923091583333,8160.3854414,680.032120116667,9192.5899473,766.049162275,150.123096125,0.563088756617391,0.86153278167
